X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;
Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;
205;-1,48E+00;-1,32E+00;;;;205;1,52E+00;1,52E+00;;;;205;1,44E+00;1,32E+00;;;;
206;-1,48E+00;-1,36E+00;;;;206;1,52E+00;1,56E+00;;;;206;1,52E+00;1,32E+00;;;;
207;-1,44E+00;-1,40E+00;;;;207;1,60E+00;1,52E+00;;;;207;1,44E+00;1,40E+00;;;;
208;-1,48E+00;-1,36E+00;;;;208;1,52E+00;1,52E+00;;;;208;1,52E+00;1,40E+00;;;;
209;-1,44E+00;-1,40E+00;;;;209;1,60E+00;1,60E+00;;;;209;1,44E+00;1,32E+00;;;;
210;-1,44E+00;-1,40E+00;;;;210;1,52E+00;1,56E+00;;;;210;1,52E+00;1,36E+00;;;;
211;-1,48E+00;-1,36E+00;;;;211;1,56E+00;1,52E+00;;;;211;1,44E+00;1,40E+00;;;;
212;-1,48E+00;-1,36E+00;;;;212;1,56E+00;1,52E+00;;;;212;1,48E+00;1,36E+00;;;;
213;-1,44E+00;-1,44E+00;;;;213;1,52E+00;1,60E+00;;;;213;1,52E+00;1,44E+00;;;;
214;-1,44E+00;-1,36E+00;;;;214;1,52E+00;1,52E+00;;;;214;1,52E+00;1,44E+00;;;;
215;-1,52E+00;-1,44E+00;;;;215;1,60E+00;1,60E+00;;;;215;1,48E+00;1,36E+00;;;;
216;-1,44E+00;-1,44E+00;;;;216;1,52E+00;1,52E+00;;;;216;1,52E+00;1,40E+00;;;;
217;-1,52E+00;-1,36E+00;;;;217;1,60E+00;1,60E+00;;;;217;1,48E+00;1,44E+00;;;;
